 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1.984,15.365,0,214,30.481,158013
2,1.532,15.517,0,214,23.77,123223
3,1.339,15.621,0,179,20.912,108408
4,1.082,13.354,0,179,14.443,74874
5,1.576,10.132,0,143,15.973,82802
1,0.286,3.578,0,95,1.025,5313
