 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,2.758,20.505,0,214,56.542,293116
2,2.274,21.792,0,214,49.55,256865
3,2.711,28.359,0,253,76.871,398497
4,2.122,17.833,0,179,37.837,196147
5,2.027,27.69,0,253,56.132,290989
1,0.417,3.419,0,95,1.425,7385
