 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,4.329,22.308,0,214,96.579,500667.000
2,1.921,25.763,0,214,49.484,256525.000
3,2.837,24.125,0,214,68.452,354854.000
4,3.969,16.584,0,179,65.825,341239.000
5,2.863,21.910,0,214,62.737,325231.000
6,0.487,2.958,0,95,1.441,7471.000
