 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,3.264,26.187,0,216,85.472,443088
2,2.997,19.095,0,216,57.218,296616
3,1.87,29.827,0,216,55.764,289080
4,2.084,18.046,0,216,37.616,195000
5,2.402,22.275,0,216,53.495,277320
1,0.823,1.784,0,95,1.469,7616
