 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,3.299,35.221,0,253,116.18,602278
2,4.038,32.581,0,214,131.569,682056
3,2.555,28.789,0,214,73.549,381279
4,2.775,30.456,0,253,84.505,438074
5,2.282,27.456,0,253,62.666,324860
1,0.932,2.324,0,131,2.166,11226
