 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,4.276,24.383,0,214,104.255,540458
2,4.866,21.415,0,253,104.206,540206
3,4.064,23.106,0,214,93.897,486760
4,4.624,19.813,0,214,91.61,474907
5,3.122,17.341,0,214,54.134,280632
1,0.402,2.136,0,95,0.858,4447
