 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1.934,17.93,0,214,34.673,179747
2,1.585,10.786,0,179,17.095,88618
3,1.829,11.359,0,214,20.781,107728
4,2.161,17.389,0,214,37.583,194831
5,1.891,11.408,0,179,21.575,111847
1,0.303,9.117,0,179,2.759,14304
