 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,3.004,47.273,0,241,142.009,736177
2,2.509,43.386,0,167,108.842,564237
3,2.083,60.124,0,204,125.258,649339
4,1.503,40.204,0,217,60.422,313227
5,2.637,39.817,0,180,105.012,544381
6,0.252,7.130,0,47,1.795,9305
