 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,2.579,12.984,0,253,33.481,173565
2,2.707,13.174,0,179,35.663,184877
3,1.402,20.73,0,253,29.064,150669
4,1.473,12.795,0,214,18.852,97727
5,3.23,14.542,0,214,46.971,243496
1,0.788,5.042,0,131,3.971,20586
