 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,4.708,22.519,0,214,106.027,549644
2,3.322,23.38,0,253,77.676,402671
3,3.045,18.255,0,214,55.577,288112
4,3.156,18.956,0,214,59.82,310105
5,3.52,20.644,0,214,72.671,376729
1,0.385,6.087,0,131,2.346,12161
