 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,3.686,39.020,0,255,143.819,745557.000
2,2.825,45.330,0,191,128.043,663774.000
3,2.676,44.172,0,167,118.200,612750.000
4,2.534,37.621,0,156,95.316,494118.000
5,0.188,24.790,0,95,4.662,24170.000
