 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,4.097,57.215,0,217,234.389,1215071
2,2.716,60.542,0,204,164.423,852367
3,2.684,49.812,0,180,133.696,693082
4,1.711,39.674,0,191,67.891,351945
5,1.837,51.577,0,204,94.737,491117
6,0.415,20.426,0,95,8.475,43936
