 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,2.367,39.820,0,180,94.273,488711
2,1.824,34.591,0,132,63.097,327096
3,1.356,46.980,0,204,63.682,330128
4,1.796,48.567,0,180,87.212,452108
5,1.846,37.429,0,191,69.096,358194
6,0.145,22.522,0,95,3.271,16959
