 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,5.764,16.935,0,255,97.614,506032
2,3.121,30.323,0,255,94.638,490601
3,3.55,29.919,0,255,106.222,550653
4,2.498,26.252,0,217,65.57,339916
5,2.444,26.364,0,217,64.446,334087
1,0.385,6.087,0,131,2.346,12161
