 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,2.569,33.475,0,214,86.011,445881
2,2.428,25.915,0,214,62.928,326221
3,2.51,28.413,0,253,71.312,369683
4,1.873,25.481,0,253,47.717,247366
5,2.405,27.101,0,214,65.191,337950
1,0.459,3.327,0,131,1.529,7925
